Indicator,Horizon,Mean_Return,Sharpe,Accuracy,Beta,t_beta_NW,p_value,R2,N
hammer,1,-0.0010480775783076918,-0.09241518643913935,0.5,-0.0018164534999711849,-0.6188542484472062,0.5360123808284887,0.0002519704827549374,14
hammer,3,-7.967965398776786e-05,-0.006227748448007986,0.5,-0.00235101289819098,-0.7030968673485403,0.4819953842861998,0.0001483049109608503,14
hammer,5,0.0011146564315939664,0.05131822500393696,0.6428571428571429,-0.002572859085232087,-0.46369538096319957,0.6428660069906833,0.00011515447146259739,14
hammer,7,0.0037623563702349682,0.13136903616712833,0.6428571428571429,-0.0012665439145222229,-0.17456001436508387,0.8614253700045497,2.1512352931796208e-05,14
hammer,10,0.007954976684480142,0.22616177162144294,0.7857142857142857,0.0009318918713272645,0.10675852688850766,0.9149805501210011,8.628794850640276e-06,14
hanging_man,1,-3.8193051517924006e-05,-0.0051905542758753686,0.5294117647058824,0.0007212178286806095,0.4107131133876907,0.6812829102269248,4.813472727704937e-05,17
hanging_man,3,-0.0010785497643055933,-0.11912601990416002,0.5294117647058824,0.0011840684030586979,0.48944084730845655,0.624529623301465,4.558504278517894e-05,17
hanging_man,5,-0.002020300859950615,-0.13720484577824874,0.35294117647058826,0.0016619126002273732,0.4406228530950629,0.6594860554950797,5.82220108985565e-05,17
hanging_man,7,-0.006064405015771539,-0.27559819490863524,0.29411764705882354,-0.0010599412422388288,-0.2030874976178157,0.8390666435647096,1.8257099568819157e-05,17
hanging_man,10,-0.004921058745360908,-0.1842014308761162,0.29411764705882354,0.0021358312856374984,0.3330629248359879,0.7390867848225462,5.49252330261929e-05,17
inverted_hammer,1,0.004313092495726134,0.5813782400099109,0.7,0.0035864420810812992,1.598308730961928,0.10997428526796024,0.0007035468207250428,10
inverted_hammer,3,0.014084554773581082,1.2085008180582562,0.9,0.011916890984332209,3.378514080790735,0.0007287870012361931,0.0027292124490306824,10
inverted_hammer,5,0.01917198654102612,1.2997311293390605,1.0,0.015615649537901328,3.4829851180150793,0.0004958559282514282,0.003038340602475764,10
inverted_hammer,7,0.012696649928215753,0.5345882322665702,0.8,0.007732724943691164,1.089014829978179,0.2761473459880496,0.0005743567470728461,10
inverted_hammer,10,0.018464555049405827,1.017576277977518,0.8,0.011511379350848783,2.0665943519506107,0.038772393468361595,0.0009430734153247355,10
bullish_engulfing,1,-0.0013881029366006696,-0.10172000765488688,0.5833333333333334,-0.002156785925731261,-0.5705925087882375,0.5682758976982476,0.0003049052829090515,12
bullish_engulfing,3,-0.004569408212102166,-0.20771948877890783,0.5,-0.00687453851259468,-1.134378411651451,0.2566358506940254,0.001088386626971527,12
bullish_engulfing,5,-0.00466986382903221,-0.16619556861329468,0.5,-0.008401610952848677,-1.091168673845053,0.2751986693130253,0.0010539629671658668,12
bullish_engulfing,7,-0.010155638793839803,-0.35670549012941716,0.3333333333333333,-0.01529789735160858,-1.9617678416304152,0.04978951930308341,0.002693786248252672,12
bullish_engulfing,10,-0.006414129820775892,-0.2177133815090264,0.5,-0.013557582770534943,-1.6740918784945433,0.09411254366494196,0.0015676066787322362,12
bearish_engulfing,1,-0.003706302335349071,-0.35582235174565086,0.2631578947368421,-0.0029939615522094638,-1.2779122185328882,0.20128037936728094,0.0009258147821608054,19
bearish_engulfing,3,-0.005144723996022919,-0.2532046010170594,0.42105263157894735,-0.0029338248711976473,-0.6470818289502914,0.5175789849660352,0.0003123506353310823,19
bearish_engulfing,5,-0.0061116655571045115,-0.2421897317668588,0.42105263157894735,-0.0024809127497933494,-0.44625027587984195,0.655416469933651,0.00014480989305820646,19
bearish_engulfing,7,-0.007718561893199451,-0.30370487133750573,0.3684210526315789,-0.0027373314044004974,-0.49639812620046353,0.6196135468435341,0.0001359022171851798,19
bearish_engulfing,10,-0.012703740968060998,-0.3664740928631401,0.2631578947368421,-0.005746503469789906,-0.7730894725435712,0.43946943099497315,0.00044375953362296716,19
piercing_pattern,1,0.0006547370346380068,0.05343397243673253,0.5652173913043478,-9.785973446807756e-05,-0.0388451932003837,0.96901381304273,1.1940273224597675e-06,23
piercing_pattern,3,0.00038067065631983024,0.019920613374654773,0.5652173913043478,-0.0018979832658242372,-0.4928174723114998,0.6221415639437093,0.00015780895581996024,23
piercing_pattern,5,-0.004211652957315641,-0.15516026973761493,0.43478260869565216,-0.008000181544677033,-1.4820918336103694,0.13831586141976654,0.0018178001628512686,23
piercing_pattern,7,-0.0015949308426463915,-0.044599038699024623,0.6521739130434783,-0.00671731480874172,-0.9554484162425891,0.33935097964934136,0.0009879448925330658,23
piercing_pattern,10,0.005191461915689504,0.17129851097981677,0.6086956521739131,-0.0018700180351392658,-0.31623953719537984,0.7518207000761312,5.672819462920753e-05,23
dark_cloud_cover,1,-0.004024564315296047,-0.3305923095215564,0.34285714285714286,-0.0033533968613987564,-1.630512535898986,0.10299321793233245,0.0021159099090106714,35
dark_cloud_cover,3,-0.00802126100664718,-0.4645905979551025,0.2857142857142857,-0.005913448469329613,-2.059005620919523,0.03949370002749869,0.002311769632854843,35
dark_cloud_cover,5,-0.010494399391831043,-0.429998852109278,0.2857142857142857,-0.006998674758094811,-1.7183940805421414,0.08572475932470243,0.002099370361604125,35
dark_cloud_cover,7,-0.013763861937567106,-0.5033006124066115,0.22857142857142856,-0.00896147094738389,-1.9882761008427468,0.046781162458919744,0.002653419046196537,35
dark_cloud_cover,10,-0.01498769447321068,-0.49644181236539564,0.22857142857142856,-0.008151076222797033,-1.6851588649948022,0.09195792504416181,0.0016264307832335456,35
morning_star,1,-0.0006553022556323423,-0.07406847496755564,0.5517241379310345,-0.0014346895093388821,-0.8767075234021652,0.38064551931936375,0.00032224516143042337,29
morning_star,3,0.002124946740893068,0.11924799962114105,0.6206896551724138,-0.00012644980513302378,-0.03911646931023234,0.9687975304073626,8.795186877685879e-07,29
morning_star,5,0.0012554937205583316,0.06101822213088439,0.5517241379310345,-0.002456052858174763,-0.6641208667148272,0.5066129557991139,0.0002151202100305616,29
morning_star,7,0.0033589619649984043,0.1437673646193974,0.5172413793103449,-0.0016913445934475363,-0.4065177791232763,0.6843621962620767,7.864340997998376e-05,29
morning_star,10,0.012352626328294335,0.4806679795559219,0.7241379310344828,0.005428430556190016,1.2260215015951053,0.22019058377016787,0.0006002179409639874,29
evening_star,1,0.00039345339694853696,0.024073119433868705,0.5217391304347826,0.0011627226279678246,0.3478312742341843,0.7279669010591223,0.00016856152336630625,23
evening_star,3,-0.008369222357809824,-0.35943866757163867,0.34782608695652173,-0.0062178099101354405,-1.319846691378353,0.18688620894180064,0.0016936426029595664,23
evening_star,5,-0.00862450637075055,-0.29621692321311405,0.30434782608695654,-0.005040715414835385,-0.8701422282093635,0.38422268288407235,0.00072165697134563,23
evening_star,7,-0.008811809414932233,-0.24971810672729236,0.21739130434782608,-0.003855644216839871,-0.5554465803673432,0.578589239317704,0.0003254881789034325,23
